year,unemployment,inflation,gdp_growth
1991,5.37,28.7092913706617,2.26565496296193
1992,3.93,21.7911687900609,9.2011037327736
1993,3.95,9.77860078293776,7.09719123999687
1994,4.05,13.5344687273427,4.51902837637206
1995,5.18,23.1864981102567,4.15395304333353
1996,6.16,17.5114524814591,1.35045949139338
1997,5.68,13.2480440791191,5.4761657765486
1998,5.33,11.6592997742233,7.15530857859194
1999,5.9,10.0452817292494,4.21481117123987
2000,5.08,10.9615496593622,3.86871808953644
2001,6.051,11.2556157091171,3.49116989434005
2002,6.396,9.16752048509118,3.41687639041064
2003,6.654,9.44758091616983,4.31717986636224
2004,6.445,12.3148150178852,4.42459959654504
2005,6.749,13.7982949108987,3.97666636818026
2006,5.926,11.4705968149052,7.3266954325067
2007,4.557,9.35724456417157,8.21513198348715
2008,4.934,13.4244635507283,4.73817487754022
2009,7.824,7.84270167700653,-0.873455942787785
2010,7.171,5.66275708420021,5.36034352634111
2011,9.518,4.87799830970702,4.40315923970431
2012,9.11,4.49545314354605,4.88259241025739
2013,8.218,5.23133614174428,2.49476611209954
2014,8.499,4.51920098516953,3.54210987765977
2015,8.415,0.801982005099623,3.65208096802883
2016,8.085,-0.0174788505908217,4.20432325175899
2017,7.729,1.62590692991731,4.1576989627609
2018,9.01,2.2211146152658,2.6159044043379
2019,10.807,2.09604635327807,2.41751181762513
2020,16.432,0.724911478131375,-4.27335432161462
2021,15.139,1.72647755109241,7.93576224743147
2022,11.325,8.27477490232654,4.55149177958398
2023,8.325,0.525193508693455,5.11192183224598
2024,6.936,-0.412853001047069,4.32122429646145
